report_month,project_id,anomaly_type,value,previous_value,severity,source_file,source_page,notes
2026-02,400204,DECREASE_EXPENDITURE,971.42,1283.08,REVIEW,FlashReport_February_2026.pdf,99,Source value retained unchanged; decrease is not treated as an error.
2026-02,400205,DECREASE_EXPENDITURE,480.79,522.19,REVIEW,FlashReport_February_2026.pdf,99,Source value retained unchanged; decrease is not treated as an error.
2026-07,400205,DECREASE_PHYSICAL_PROGRESS,1.0,4.2,REVIEW,FlashReport_July_2026-1.pdf,88,Source value retained unchanged; decrease is not treated as an error.
2025-12,400220,DECREASE_EXPENDITURE,2609.75,2624.33,REVIEW,FlashReport_December_2025.pdf,69,Source value retained unchanged; decrease is not treated as an error.
2025-12,400220,DECREASE_REVISED_COST,3407.09,3438.0,REVIEW,FlashReport_December_2025.pdf,69,Source value retained unchanged; decrease is not treated as an error.
2026-07,400223,DECREASE_PHYSICAL_PROGRESS,80.0,81.0,REVIEW,FlashReport_July_2026-1.pdf,87,Source value retained unchanged; decrease is not treated as an error.
2026-07,400231,DISAPPEAR_REAPPEAR,2025-09;2025-10;2025-11;2025-12;2026-01,,REVIEW,FlashReport_July_2026-1.pdf,61,Missing between observed months; not interpreted as completion.
2026-07,400232,DECREASE_EXPENDITURE,46.39,237.83,REVIEW,FlashReport_July_2026-1.pdf,87,Source value retained unchanged; decrease is not treated as an error.
2026-05,400232,DECREASE_PHYSICAL_PROGRESS,55.0,56.0,REVIEW,FlashReport_May2026.pdf,88,Source value retained unchanged; decrease is not treated as an error.
2026-07,400232,DECREASE_PHYSICAL_PROGRESS,55.0,67.0,REVIEW,FlashReport_July_2026-1.pdf,87,Source value retained unchanged; decrease is not treated as an error.
2026-07,400232,DECREASE_REVISED_COST,296.51,297.0,REVIEW,FlashReport_July_2026-1.pdf,87,Source value retained unchanged; decrease is not treated as an error.
2025-12,400234,DECREASE_EXPENDITURE,4798.96,4950.0,REVIEW,FlashReport_December_2025.pdf,73,Source value retained unchanged; decrease is not treated as an error.
2025-12,400235,DISAPPEAR_REAPPEAR,2025-08,,REVIEW,FlashReport_December_2025.pdf,62,Missing between observed months; not interpreted as completion.
2026-07,400247,DECREASE_EXPENDITURE,925.7,1066.85,REVIEW,FlashReport_July_2026-1.pdf,89,Source value retained unchanged; decrease is not treated as an error.
