report_month,state,project_count,original_cost_crores,revised_cost_crores,expenditure_crores,source_file,source_type
2025-09,Meghalaya,4.0,15842.81,17431.48,12344.04,State-Wise-Report.csv,aggregate_csv
2025-09,Punjab,16.0,39563.9,41045.05,25051.76,State-Wise-Report.csv,aggregate_csv
2025-09,West Bengal,56.0,127647.51,139948.96,67550.35,State-Wise-Report.csv,aggregate_csv
2025-09,Tamil Nadu,19.0,114474.73,126476.44,41548.38,State-Wise-Report.csv,aggregate_csv
2025-09,Maharashtra,109.0,425549.94,545048.73,377423.41,State-Wise-Report.csv,aggregate_csv
2025-09,Gujarat,74.0,401353.25,531213.33,397370.99,State-Wise-Report.csv,aggregate_csv
2025-09,Jharkhand,66.0,165923.86,178488.46,74395.55,State-Wise-Report.csv,aggregate_csv
2025-09,Uttar Pradesh,62.0,249968.17,334587.94,269509.89,State-Wise-Report.csv,aggregate_csv
2025-09,Odisha,57.0,174651.84,183248.03,95635.51,State-Wise-Report.csv,aggregate_csv
2025-09,Madhya Pradesh,56.0,170397.27,184925.26,87668.83,State-Wise-Report.csv,aggregate_csv
2025-09,Rajasthan,56.0,214933.5,327156.91,240321.52,State-Wise-Report.csv,aggregate_csv
2025-09,Haryana,18.0,129800.26,206927.45,173408.71,State-Wise-Report.csv,aggregate_csv
2025-09,Chhattisgarh,52.0,120189.19,125088.44,56122.12,State-Wise-Report.csv,aggregate_csv
2025-09,Bihar,50.0,127584.25,138306.01,70965.93,State-Wise-Report.csv,aggregate_csv
2025-09,Andhra Pradesh,47.0,124362.24,178166.9,103275.67,State-Wise-Report.csv,aggregate_csv
2025-09,Karnataka,38.0,95655.64,111285.73,72873.2,State-Wise-Report.csv,aggregate_csv
2025-09,Assam,31.0,67041.17,101668.87,81258.0,State-Wise-Report.csv,aggregate_csv
2025-09,Telangana,31.0,44009.03,60570.46,30983.06,State-Wise-Report.csv,aggregate_csv
2025-09,Delhi,28.0,137284.31,137839.23,55072.28,State-Wise-Report.csv,aggregate_csv
