report_month,sector,project_count,original_cost_crores,revised_cost_crores,expenditure_crores,source_file,source_type
2025-11,Real Estate,6.0,37591.1,37591.1,715.23,Sector-Wise-Report.csv,aggregate_csv
2025-11,Metals & Mining,7.0,10044.36,12480.73,6763.36,Sector-Wise-Report.csv,aggregate_csv
2025-11,Shipping,9.0,15124.41,15290.87,8975.5,Sector-Wise-Report.csv,aggregate_csv
2025-11,Telecommunication,15.0,152734.45,274826.98,77535.98,Sector-Wise-Report.csv,aggregate_csv
2025-11,Energy Storage,18.0,81884.05,120806.74,94581.97,Sector-Wise-Report.csv,aggregate_csv
2025-11,Healthcare,20.0,13012.27,14296.95,4332.54,Sector-Wise-Report.csv,aggregate_csv
2025-11,"Tourism, Hospitality & Wellness",1.0,573.0,1238.05,515.97,Sector-Wise-Report.csv,aggregate_csv
2025-11,Urban Public Transport,23.0,238843.11,259424.64,171215.56,Sector-Wise-Report.csv,aggregate_csv
2025-11,Education,31.0,16021.65,15534.29,8505.19,Sector-Wise-Report.csv,aggregate_csv
2025-11,Waste & Water,32.0,9937.92,9962.25,5975.01,Sector-Wise-Report.csv,aggregate_csv
2025-11,Electricity Generation,36.0,275175.55,336178.78,165130.23,Sector-Wise-Report.csv,aggregate_csv
2025-11,Water Resources,39.0,93740.23,193594.13,139573.2,Sector-Wise-Report.csv,aggregate_csv
2025-11,Transmission & Distribution,64.0,153554.68,159517.97,57184.49,Sector-Wise-Report.csv,aggregate_csv
2025-11,Oil & Gas,95.0,355051.01,384189.78,188847.4,Sector-Wise-Report.csv,aggregate_csv
2025-11,Coal,117.0,159359.32,157097.31,48896.62,Sector-Wise-Report.csv,aggregate_csv
2025-11,Railways,260.0,696643.16,850436.57,544630.05,Sector-Wise-Report.csv,aggregate_csv
2025-11,Aviation & Aviation Infrastructure,25.0,19949.84,20411.04,9093.09,Sector-Wise-Report.csv,aggregate_csv
2025-12,Energy Storage,18.0,81884.05,120754.28,95874.25,Sector-Wise-Report.csv,aggregate_csv
2025-12,Telecommunication,14.0,151923.46,274015.99,77210.74,Sector-Wise-Report.csv,aggregate_csv
2025-12,Shipping,9.0,15124.41,15290.87,9130.93,Sector-Wise-Report.csv,aggregate_csv
2025-12,Metals & Mining,7.0,10044.36,12480.73,6920.98,Sector-Wise-Report.csv,aggregate_csv
2025-12,"Tourism, Hospitality & Wellness",1.0,573.0,1238.05,545.51,Sector-Wise-Report.csv,aggregate_csv
2025-12,Inland Waterways,2.0,5546.18,5258.15,4100.49,Sector-Wise-Report.csv,aggregate_csv
2025-12,Construction,2.0,899.37,899.37,209.57,Sector-Wise-Report.csv,aggregate_csv
