project_code,identity_key,prediction_month,state,sector,ministry,agency,project_age_months,progress_current,expenditure_current,original_cost_current,revised_cost_current,effective_target_months_from_cutoff,progress_change_1m,progress_change_3m,progress_velocity_3m,progress_acceleration_3m,expenditure_change_1m,expenditure_change_3m,expenditure_velocity_3m,cost_revision_count_to_date,last_cost_revision_pct,months_since_cost_revision,schedule_revision_count_to_date,months_since_schedule_revision,months_since_material_progress_change,expenditure_to_original_cost,expenditure_to_revised_cost,cost_revision_pct_current,months_observed,months_since_first_observation,revised_cost_missing,progress_missing,future_cost_increase_5pct_6m
400018,P:400018,2025-09,Jharkhand,Coal,Ministry of Coal,ECL - CIL,37.000000,62.000000,451.610000,859.410000,859.410000,42.000000,0.000000,,,0.000000,0.850000,,,0,,,0,,,0.525488,0.525488,0.000000,3,2,0,0,0
400018,P:400018,2025-10,Jharkhand,Coal,Ministry of Coal,ECL - CIL,38.000000,62.000000,451.620000,859.410000,859.410000,41.000000,0.000000,0.000000,0.000000,0.000000,0.010000,1.150000,0.383333,0,,,0,,,0.525500,0.525500,0.000000,4,3,0,0,0
400018,P:400018,2025-11,Jharkhand,Coal,Ministry of Coal,ECL - CIL,39.000000,62.000000,451.930000,859.410000,859.410000,40.000000,0.000000,0.000000,0.000000,0.000000,0.310000,1.170000,0.390000,0,,,0,,,0.525861,0.525861,0.000000,5,4,0,0,0
400018,P:400018,2025-12,Jharkhand,Coal,Ministry of Coal,ECL - CIL,40.000000,62.000000,453.000000,859.410000,859.410000,39.000000,0.000000,0.000000,0.000000,0.000000,1.070000,1.390000,0.463333,0,,,0,,,0.527106,0.527106,0.000000,6,5,0,0,0
400018,P:400018,2026-01,Jharkhand,Coal,Ministry of Coal,ECL - CIL,41.000000,63.000000,454.680000,859.410000,859.410000,38.000000,1.000000,1.000000,0.333333,1.000000,1.680000,3.060000,1.020000,0,,,0,,0.000000,0.529061,0.529061,0.000000,7,6,0,0,0
400019,P:400019,2025-07,Maharashtra,Railways,Ministry of Railways,CR,27.000000,9.000000,234.480000,493.000000,1171.000000,26.000000,,,,,,,,0,,,0,,,0.475619,0.200239,1.375254,1,0,0,0,0
400019,P:400019,2025-08,Maharashtra,Railways,Ministry of Railways,CR,28.000000,16.000000,245.110000,492.760000,1170.830000,25.000000,7.000000,,,,10.630000,,,1,-0.000145,0.000000,0,,0.000000,0.497423,0.209347,1.376065,2,1,0,0,0
400019,P:400019,2025-09,Maharashtra,Railways,Ministry of Railways,Central Railway (CR,29.000000,16.000000,256.280000,492.760000,1170.830000,24.000000,0.000000,,,-7.000000,11.170000,,,1,-0.000145,1.000000,0,,1.000000,0.520091,0.218887,1.376065,3,2,0,0,0
400019,P:400019,2025-10,Maharashtra,Railways,Ministry of Railways,Central Railway,30.000000,16.000000,276.860000,492.760000,1170.830000,23.000000,0.000000,7.000000,2.333333,0.000000,20.580000,42.380000,14.126667,1,-0.000145,2.000000,0,,2.000000,0.561856,0.236465,1.376065,4,3,0,0,0
400019,P:400019,2025-11,Maharashtra,Railways,Ministry of Railways,Central Railway,31.000000,17.000000,288.080000,492.760000,1170.830000,22.000000,1.000000,1.000000,0.333333,1.000000,11.220000,42.970000,14.323333,1,-0.000145,3.000000,0,,0.000000,0.584625,0.246048,1.376065,5,4,0,0,0
400019,P:400019,2025-12,Maharashtra,Railways,Ministry of Railways,Central Railway,32.000000,25.000000,415.470000,492.760000,1170.830000,21.000000,8.000000,9.000000,3.000000,7.000000,127.390000,159.190000,53.063333,1,-0.000145,4.000000,0,,0.000000,0.843149,0.354851,1.376065,6,5,0,0,0
400022,P:400022,2025-07,"Gujarat, Rajasthan",Railways,Ministry of Railways,North Western Railway [NWR],36.000000,14.000000,1891.900000,2798.000000,2798.000000,60.000000,,,,,,,,0,,,0,,,0.676162,0.676162,0.000000,1,0,0,0,0
400022,P:400022,2025-08,"Gujarat, Rajasthan",Railways,Ministry of Railways,North Western Railway [NWR],37.000000,15.000000,1915.380000,2798.000000,2798.000000,59.000000,1.000000,,,,23.480000,,,0,,,0,,0.000000,0.684553,0.684553,0.000000,2,1,0,0,0
400022,P:400022,2025-09,"Gujarat, Rajasthan",Railways,Ministry of Railways,North Western Railway [NWR],38.000000,16.000000,1931.660000,2798.000000,2798.000000,58.000000,1.000000,,,0.000000,16.280000,,,0,,,0,,0.000000,0.690372,0.690372,0.000000,3,2,0,0,0
400022,P:400022,2025-10,"Gujarat, Rajasthan",Railways,Ministry of Railways,North Western Railway [NWR],39.000000,17.000000,2014.600000,2798.000000,2798.000000,57.000000,1.000000,3.000000,1.000000,0.000000,82.940000,122.700000,40.900000,0,,,0,,0.000000,0.720014,0.720014,0.000000,4,3,0,0,0
400022,P:400022,2025-11,"Gujarat, Rajasthan",Railways,Ministry of Railways,North Western Railway [NWR],40.000000,17.000000,2037.040000,2798.000000,2798.000000,56.000000,0.000000,2.000000,0.666667,-1.000000,22.440000,121.660000,40.553333,0,,,0,,1.000000,0.728034,0.728034,0.000000,5,4,0,0,0
400022,P:400022,2025-12,"Gujarat, Rajasthan",Railways,Ministry of Railways,North Western Railway [NWR],41.000000,17.000000,2098.090000,2798.000000,2798.000000,55.000000,0.000000,1.000000,0.333333,0.000000,61.050000,166.430000,55.476667,0,,,0,,2.000000,0.749853,0.749853,0.000000,6,5,0,0,0
400022,P:400022,2026-01,"Gujarat, Rajasthan",Railways,Ministry of Railways,North Western Railway [NWR],42.000000,20.000000,2181.960000,2798.000000,2798.000000,54.000000,3.000000,3.000000,1.000000,3.000000,83.870000,167.360000,55.786667,0,,,0,,0.000000,0.779828,0.779828,0.000000,7,6,0,0,1
400023,P:400023,2025-07,Karnataka,Railways,Ministry of Railways,South Western Railway [SWR] - II,-5.000000,0.000000,0.000000,749.000000,749.000000,21.000000,,,,,,,,0,,,0,,,0.000000,0.000000,0.000000,1,0,0,0,0
400023,P:400023,2025-08,Karnataka,Railways,Ministry of Railways,South Western Railway [SWR] - II,-4.000000,0.000000,0.000000,749.000000,749.000000,20.000000,0.000000,,,,0.000000,,,0,,,0,,,0.000000,0.000000,0.000000,2,1,0,0,0
400023,P:400023,2025-10,Karnataka,Railways,Ministry of Railways,South Western Railway [SWR] - II,-2.000000,0.000000,0.000000,749.000000,749.000000,18.000000,,0.000000,0.000000,,,0.000000,0.000000,0,,,0,,,0.000000,0.000000,0.000000,3,3,0,0,0
400023,P:400023,2025-11,Karnataka,Railways,Ministry of Railways,South Western Railway [SWR] - II,-1.000000,0.000000,0.000000,749.000000,749.000000,17.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0,,,0,,,0.000000,0.000000,0.000000,4,4,0,0,0
400023,P:400023,2025-12,Karnataka,Railways,Ministry of Railways,South Western Railway [SWR] - II,0.000000,0.000000,0.000000,749.000000,749.000000,16.000000,0.000000,,,0.000000,0.000000,,,0,,,0,,,0.000000,0.000000,0.000000,5,5,0,0,0
400023,P:400023,2026-01,Karnataka,Railways,Ministry of Railways,South Western Railway [SWR] - II,1.000000,0.000000,0.940000,749.000000,749.000000,15.000000,0.000000,0.000000,0.000000,0.000000,0.940000,0.940000,0.313333,0,,,0,,,0.001255,0.001255,0.000000,6,6,0,0,0
400033,P:400033,2025-07,Maharashtra,Coal,Ministry of Coal,Western Coalfields Limited [WCL],38.000000,26.000000,20.520000,580.610000,580.610000,,,,,,,,,0,,,0,,,0.035342,0.035342,0.000000,1,0,0,0,0
400033,P:400033,2025-08,Maharashtra,Coal,Ministry of Coal,Western Coalfields Limited [WCL],39.000000,26.000000,69.730000,580.610000,580.610000,31.000000,0.000000,,,,49.210000,,,0,,,0,,,0.120098,0.120098,0.000000,2,1,0,0,0
400033,P:400033,2025-09,Maharashtra,Coal,Ministry of Coal,Western Coalfields Limited [WCL],40.000000,28.000000,69.770000,580.610000,580.610000,30.000000,2.000000,,,2.000000,0.040000,,,0,,,0,,0.000000,0.120167,0.120167,0.000000,3,2,0,0,0
400033,P:400033,2025-10,Maharashtra,Coal,Ministry of Coal,Western Coalfields Limited [WCL],41.000000,28.000000,73.770000,580.610000,580.610000,29.000000,0.000000,2.000000,0.666667,-2.000000,4.000000,53.250000,17.750000,0,,,0,,1.000000,0.127056,0.127056,0.000000,4,3,0,0,0
400033,P:400033,2025-11,Maharashtra,Coal,Ministry of Coal,Western Coalfields Limited [WCL],42.000000,31.000000,80.950000,580.610000,580.610000,28.000000,3.000000,5.000000,1.666667,3.000000,7.180000,11.220000,3.740000,0,,,0,,0.000000,0.139422,0.139422,0.000000,5,4,0,0,0
400033,P:400033,2025-12,Maharashtra,Coal,Ministry of Coal,Western Coalfields Limited [WCL],43.000000,31.000000,84.730000,580.610000,580.610000,27.000000,0.000000,3.000000,1.000000,-3.000000,3.780000,14.960000,4.986667,0,,,0,,1.000000,0.145933,0.145933,0.000000,6,5,0,0,0
400033,P:400033,2026-01,Maharashtra,Coal,Ministry of Coal,Western Coalfields Limited [WCL],44.000000,33.000000,86.770000,580.610000,580.610000,26.000000,2.000000,5.000000,1.666667,2.000000,2.040000,13.000000,4.333333,0,,,0,,0.000000,0.149446,0.149446,0.000000,7,6,0,0,0
400035,P:400035,2025-07,Tripura,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],37.000000,84.000000,465.730000,656.000000,656.000000,2.000000,,,,,,,,0,,,0,,,0.709954,0.709954,0.000000,1,0,0,0,0
400035,P:400035,2025-08,Tripura,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],38.000000,86.000000,478.110000,656.000000,656.000000,10.000000,2.000000,,,,12.380000,,,0,,,1,0.000000,0.000000,0.728826,0.728826,0.000000,2,1,0,0,0
400035,P:400035,2025-09,Tripura,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],39.000000,88.000000,483.900000,656.000000,656.000000,9.000000,2.000000,,,0.000000,5.790000,,,0,,,1,1.000000,0.000000,0.737652,0.737652,0.000000,3,2,0,0,0
400035,P:400035,2025-10,Tripura,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],40.000000,89.000000,509.920000,656.000000,656.000000,8.000000,1.000000,5.000000,1.666667,-1.000000,26.020000,44.190000,14.730000,0,,,1,2.000000,0.000000,0.777317,0.777317,0.000000,4,3,0,0,0
400035,P:400035,2025-11,Tripura,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],41.000000,90.000000,519.020000,656.000000,656.000000,7.000000,1.000000,4.000000,1.333333,0.000000,9.100000,40.910000,13.636667,0,,,1,3.000000,0.000000,0.791189,0.791189,0.000000,5,4,0,0,0
400043,P:400043,2025-07,Tamil Nadu,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,42.000000,62.000000,297.770000,829.000000,829.000000,10.000000,,,,,,,,0,,,0,,,0.359192,0.359192,0.000000,1,0,0,0,0
400043,P:400043,2025-08,Tamil Nadu,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,43.000000,63.000000,301.710000,829.000000,829.000000,9.000000,1.000000,,,,3.940000,,,0,,,0,,0.000000,0.363945,0.363945,0.000000,2,1,0,0,0
400043,P:400043,2025-09,Tamil Nadu,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,44.000000,66.000000,320.630000,829.000000,829.000000,8.000000,3.000000,,,2.000000,18.920000,,,0,,,0,,0.000000,0.386767,0.386767,0.000000,3,2,0,0,0
400043,P:400043,2025-10,Tamil Nadu,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,45.000000,67.000000,327.860000,829.000000,829.000000,7.000000,1.000000,5.000000,1.666667,-2.000000,7.230000,30.090000,10.030000,0,,,0,,0.000000,0.395489,0.395489,0.000000,4,3,0,0,0
400043,P:400043,2025-11,Tamil Nadu,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,46.000000,67.000000,338.150000,829.000000,829.000000,6.000000,0.000000,4.000000,1.333333,-1.000000,10.290000,36.440000,12.146667,0,,,0,,1.000000,0.407901,0.407901,0.000000,5,4,0,0,0
400043,P:400043,2025-12,Tamil Nadu,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,47.000000,69.000000,339.980000,829.000000,829.000000,5.000000,2.000000,3.000000,1.000000,2.000000,1.830000,19.350000,6.450000,0,,,0,,0.000000,0.410109,0.410109,0.000000,6,5,0,0,0
400043,P:400043,2026-01,Tamil Nadu,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,48.000000,71.000000,331.770000,829.000000,829.000000,4.000000,2.000000,4.000000,1.333333,0.000000,-8.210000,3.910000,1.303333,0,,,0,,0.000000,0.400205,0.400205,0.000000,7,6,0,0,0
400045,P:400045,2025-07,Odisha,Railways,Ministry of Railways,East Coast Railway [ECoR] - II,36.000000,82.000000,69.850000,168.320000,168.320000,-6.000000,,,,,,,,0,,,0,,,0.414983,0.414983,0.000000,1,0,0,0,0
400045,P:400045,2025-08,Odisha,Railways,Ministry of Railways,East Coast Railway [ECoR] - II,37.000000,82.000000,69.850000,168.320000,168.320000,-7.000000,0.000000,,,,0.000000,,,0,,,0,,,0.414983,0.414983,0.000000,2,1,0,0,0
400045,P:400045,2025-09,Odisha,Railways,Ministry of Railways,East Coast Railway [ECoR] - II,38.000000,82.000000,69.850000,168.320000,168.320000,-8.000000,0.000000,,,0.000000,0.000000,,,0,,,0,,,0.414983,0.414983,0.000000,3,2,0,0,0
400045,P:400045,2025-10,Odisha,Railways,Ministry of Railways,East Coast Railway [ECoR] - II,39.000000,82.000000,69.850000,168.320000,168.320000,-9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,,0,,,0.414983,0.414983,0.000000,4,3,0,0,0
400045,P:400045,2025-11,Odisha,Railways,Ministry of Railways,East Coast Railway [ECoR] - II,40.000000,82.000000,69.850000,168.320000,168.320000,-10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,,0,,,0.414983,0.414983,0.000000,5,4,0,0,0
400045,P:400045,2025-12,Odisha,Railways,Ministry of Railways,East Coast Railway [ECoR] - II,41.000000,82.000000,69.850000,168.320000,168.320000,-11.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,,0,,,0.414983,0.414983,0.000000,6,5,0,0,0
400045,P:400045,2026-01,Odisha,Railways,Ministry of Railways,East Coast Railway [ECoR] - II,42.000000,82.000000,69.850000,168.320000,168.320000,-12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,,0,,,0.414983,0.414983,0.000000,7,6,0,0,0
400047,P:400047,2025-12,Odisha,Railways,Ministry of Railways,East Coast Railway [ECoR] - II,42.000000,40.000000,13.170000,210.000000,210.000000,-17.000000,,,,,,,,0,,,0,,,0.062714,0.062714,0.000000,1,0,0,0,0
400047,P:400047,2026-01,Odisha,Railways,Ministry of Railways,East Coast Railway [ECoR] - II,43.000000,50.000000,37.170000,210.000000,210.000000,11.000000,10.000000,,,,24.000000,,,0,,,1,0.000000,0.000000,0.177000,0.177000,0.000000,2,1,0,0,0
400048,P:400048,2025-12,Odisha,Railways,Ministry of Railways,East Coast Railway [ECoR] - II,42.000000,80.000000,45.000000,186.210000,186.210000,-15.000000,,,,,,,,0,,,0,,,0.241663,0.241663,0.000000,1,0,0,0,0
400048,P:400048,2026-01,Odisha,Railways,Ministry of Railways,East Coast Railway [ECoR] - II,43.000000,86.000000,93.020000,186.210000,186.210000,3.000000,6.000000,,,,48.020000,,,0,,,1,0.000000,0.000000,0.499544,0.499544,0.000000,2,1,0,0,0
400073,P:400073,2025-07,Jharkhand,Coal,Ministry of Coal,Ministry of Coal,42.000000,46.000000,426.160000,799.340000,799.340000,,,,,,,,,0,,,0,,,0.533140,0.533140,0.000000,1,0,0,0,0
400073,P:400073,2025-08,Jharkhand,Coal,Ministry of Coal,Ministry of Coal,43.000000,45.000000,424.010000,799.340000,799.340000,79.000000,-1.000000,,,,-2.150000,,,0,,,0,,0.000000,0.530450,0.530450,0.000000,2,1,0,0,0
400073,P:400073,2025-09,Jharkhand,Coal,Ministry of Coal,Ministry of Coal,44.000000,45.000000,429.420000,799.340000,799.340000,78.000000,0.000000,,,1.000000,5.410000,,,0,,,0,,1.000000,0.537218,0.537218,0.000000,3,2,0,0,0
400073,P:400073,2025-10,Jharkhand,Coal,Ministry of Coal,Ministry of Coal,45.000000,45.000000,429.650000,799.340000,799.340000,77.000000,0.000000,-1.000000,-0.333333,0.000000,0.230000,3.490000,1.163333,0,,,0,,2.000000,0.537506,0.537506,0.000000,4,3,0,0,0
400073,P:400073,2025-11,Jharkhand,Coal,Ministry of Coal,Ministry of Coal,46.000000,45.000000,429.650000,799.340000,799.340000,76.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.640000,1.880000,0,,,0,,3.000000,0.537506,0.537506,0.000000,5,4,0,0,0
