project_code,identity_key,prediction_month,state,sector,ministry,agency,project_age_months,progress_current,expenditure_current,original_cost_current,revised_cost_current,effective_target_months_from_cutoff,progress_change_1m,progress_change_3m,progress_velocity_3m,progress_acceleration_3m,expenditure_change_1m,expenditure_change_3m,expenditure_velocity_3m,cost_revision_count_to_date,last_cost_revision_pct,months_since_cost_revision,schedule_revision_count_to_date,months_since_schedule_revision,months_since_material_progress_change,expenditure_to_original_cost,expenditure_to_revised_cost,cost_revision_pct_current,months_observed,months_since_first_observation,revised_cost_missing,progress_missing,future_schedule_later_3m
400023,P:400023,2026-04,Karnataka,Railways,Ministry of Railways,South Western Railway [SWR] - II,4.000000,0.300000,0.940000,749.000000,749.000000,12.000000,0.000000,0.300000,0.100000,-0.300000,0.000000,0.000000,0.000000,0,,,0,,,0.001255,0.001255,0.000000,9,9,0,0,1
400033,P:400033,2025-08,Maharashtra,Coal,Ministry of Coal,Western Coalfields Limited [WCL],39.000000,26.000000,69.730000,580.610000,580.610000,31.000000,0.000000,,,,49.210000,,,0,,,0,,,0.120098,0.120098,0.000000,2,1,0,0,0
400033,P:400033,2025-09,Maharashtra,Coal,Ministry of Coal,Western Coalfields Limited [WCL],40.000000,28.000000,69.770000,580.610000,580.610000,30.000000,2.000000,,,2.000000,0.040000,,,0,,,0,,0.000000,0.120167,0.120167,0.000000,3,2,0,0,0
400033,P:400033,2025-10,Maharashtra,Coal,Ministry of Coal,Western Coalfields Limited [WCL],41.000000,28.000000,73.770000,580.610000,580.610000,29.000000,0.000000,2.000000,0.666667,-2.000000,4.000000,53.250000,17.750000,0,,,0,,1.000000,0.127056,0.127056,0.000000,4,3,0,0,0
400033,P:400033,2025-11,Maharashtra,Coal,Ministry of Coal,Western Coalfields Limited [WCL],42.000000,31.000000,80.950000,580.610000,580.610000,28.000000,3.000000,5.000000,1.666667,3.000000,7.180000,11.220000,3.740000,0,,,0,,0.000000,0.139422,0.139422,0.000000,5,4,0,0,0
400033,P:400033,2025-12,Maharashtra,Coal,Ministry of Coal,Western Coalfields Limited [WCL],43.000000,31.000000,84.730000,580.610000,580.610000,27.000000,0.000000,3.000000,1.000000,-3.000000,3.780000,14.960000,4.986667,0,,,0,,1.000000,0.145933,0.145933,0.000000,6,5,0,0,0
400033,P:400033,2026-01,Maharashtra,Coal,Ministry of Coal,Western Coalfields Limited [WCL],44.000000,33.000000,86.770000,580.610000,580.610000,26.000000,2.000000,5.000000,1.666667,2.000000,2.040000,13.000000,4.333333,0,,,0,,0.000000,0.149446,0.149446,0.000000,7,6,0,0,0
400033,P:400033,2026-02,Maharashtra,Coal,Ministry of Coal,Western Coalfields Limited [WCL],45.000000,33.000000,105.460000,580.610000,580.610000,25.000000,0.000000,2.000000,0.666667,-2.000000,18.690000,24.510000,8.170000,0,,,0,,1.000000,0.181637,0.181637,0.000000,8,7,0,0,0
400033,P:400033,2026-03,Maharashtra,Coal,Ministry of Coal,Western Coalfields Limited [WCL],46.000000,33.150000,111.650000,580.610000,580.610000,24.000000,0.150000,2.150000,0.716667,0.150000,6.190000,26.920000,8.973333,0,,,0,,2.000000,0.192298,0.192298,0.000000,9,8,0,0,0
400033,P:400033,2026-04,Maharashtra,Coal,Ministry of Coal,Western Coalfields Limited [WCL],47.000000,33.910000,112.170000,580.610000,580.610000,23.000000,0.760000,0.910000,0.303333,0.610000,0.520000,25.400000,8.466667,0,,,0,,3.000000,0.193193,0.193193,0.000000,10,9,0,0,0
